Feature,Importance
Current_CTC,0.9844859149230712
Performance_Score,0.008683651507238708
Education_Level_encoded,0.004563581588568929
Inhand_Offer,0.0008860520884027046
Passing_Year_Of_PHD,0.0005182030053514543
PHD_Specialization_encoded,0.0002858940573057713
Total_Experience,0.00020767960067221542
University_Grad_encoded,9.082315174924882e-05
Graduation_Specialization_encoded,5.7496285952937666e-05
PG_Specialization_encoded,3.708542628721364e-05
University_PG_encoded,2.7570583559793846e-05
University_PHD_encoded,2.63169450091581e-05
Preferred_location_encoded,2.2681941282362322e-05
Passing_Year_Of_PG,2.1440474097016966e-05
Curent_Location_encoded,1.873660275191821e-05
Passing_Year_Of_Graduation,1.8584919330702097e-05
Number_of_Publications,1.4859346009944805e-05
Certifications,7.099676489984073e-06
No_Of_Companies_worked,6.30349737834175e-06
Role_encoded,4.9020777274072105e-06
Industry_encoded,4.813341356786217e-06
Organization_encoded,4.3282071005071265e-06
Department_encoded,1.6655952275998985e-06
Field_Specialization_Ratio,1.5850530499274644e-06
Designation_encoded,1.4092877845695413e-06
Total_Experience_in_field_applied,1.098730751567173e-06
International_degree_any,2.2208649204055068e-07
Has_PHD,0.0
Has_PG,0.0
