Feature,Coefficient,Abs_Coefficient
Performance_Score^3,-64127.71579076406,64127.71579076406
Current_CTC Has_PG,59933.384217796855,59933.384217796855
Current_CTC Has_PHD,59023.48820570416,59023.48820570416
Passing_Year_Of_PHD Current_CTC,53615.71366174124,53615.71366174124
Current_CTC Education_Level_encoded^2,46345.62822183452,46345.62822183452
Current_CTC^2,46183.22466179584,46183.22466179584
Passing_Year_Of_PG Current_CTC,45559.23466352348,45559.23466352348
Passing_Year_Of_Graduation Current_CTC Has_PHD,43627.498763044525,43627.498763044525
Passing_Year_Of_Graduation Current_CTC Has_PG,42873.55633964821,42873.55633964821
Total_Experience Education_Level_encoded^2,42369.43688336501,42369.43688336501
Current_CTC Performance_Score,41705.22590930618,41705.22590930618
Passing_Year_Of_Graduation Current_CTC,41465.56784223583,41465.56784223583
Passing_Year_Of_Graduation Passing_Year_Of_PHD Current_CTC,39492.27142011085,39492.27142011085
Passing_Year_Of_PG^2 Current_CTC,38046.33445685918,38046.33445685918
Passing_Year_Of_Graduation Current_CTC Performance_Score,36686.77409957153,36686.77409957153
Current_CTC No_Of_Companies_worked,36631.5954544239,36631.5954544239
Passing_Year_Of_PG Passing_Year_Of_PHD Current_CTC,35205.613801615065,35205.613801615065
Passing_Year_Of_PG Current_CTC Has_PG,32859.09286220218,32859.09286220218
Passing_Year_Of_PG Current_CTC Has_PHD,32612.3517456741,32612.3517456741
Passing_Year_Of_Graduation Passing_Year_Of_PG Current_CTC,32427.52402089993,32427.52402089993
Current_CTC Number_of_Publications,31156.74790375929,31156.74790375929
Passing_Year_Of_Graduation Current_CTC^2,31062.50279884797,31062.50279884797
Total_Experience Performance_Score^2,-30085.854696565762,30085.854696565762
Total_Experience^2,-30066.991037382697,30066.991037382697
Passing_Year_Of_Graduation^2 Current_CTC,29232.478295129546,29232.478295129546
Total_Experience Passing_Year_Of_Graduation Graduation_Specialization_encoded,-27417.61410154832,27417.61410154832
Total_Experience Passing_Year_Of_Graduation University_Grad_encoded,-26965.644902284857,26965.644902284857
Passing_Year_Of_PHD Current_CTC Has_PHD,26853.24209059106,26853.24209059106
Total_Experience_in_field_applied Current_CTC,26577.649225398858,26577.649225398858
Passing_Year_Of_PHD Current_CTC Has_PG,26422.609964923387,26422.609964923387
Total_Experience Passing_Year_Of_Graduation PG_Specialization_encoded,-26406.27142952476,26406.27142952476
Passing_Year_Of_PHD^2 Current_CTC,26058.809453524103,26058.809453524103
Total_Experience University_PHD_encoded,26018.703279188732,26018.703279188732
Total_Experience PHD_Specialization_encoded,25873.73504237857,25873.73504237857
Total_Experience_in_field_applied Passing_Year_Of_PHD,25655.987586499305,25655.987586499305
Total_Experience_in_field_applied No_Of_Companies_worked,25561.764458563484,25561.764458563484
Total_Experience^2 Total_Experience_in_field_applied,25007.150452947666,25007.150452947666
Total_Experience University_PG_encoded,24889.472268492384,24889.472268492384
Total_Experience_in_field_applied Passing_Year_Of_PG,24676.785876607013,24676.785876607013
Current_CTC Has_PG^2,24512.866389602023,24512.866389602023
Total_Experience Passing_Year_Of_Graduation PHD_Specialization_encoded,-24070.3052575932,24070.3052575932
Total_Experience Passing_Year_Of_Graduation University_PG_encoded,-23806.309168581625,23806.309168581625
Total_Experience Preferred_location_encoded,23760.484110543388,23760.484110543388
Current_CTC Has_PG Has_PHD,23650.280720933984,23650.280720933984
Passing_Year_Of_PG Current_CTC^2,23529.18927457098,23529.18927457098
Current_CTC Inhand_Offer,23398.978750398892,23398.978750398892
Current_CTC Has_PHD^2,23384.632892926762,23384.632892926762
Total_Experience_in_field_applied Passing_Year_Of_Graduation,22901.988743597478,22901.988743597478
Total_Experience_in_field_applied^2,22693.09873133575,22693.09873133575
Total_Experience^2 Field_Specialization_Ratio,22213.01023842921,22213.01023842921
Total_Experience^2 Performance_Score,22084.135273879438,22084.135273879438
Total_Experience PG_Specialization_encoded,21926.06822298287,21926.06822298287
Total_Experience Passing_Year_Of_Graduation Field_Specialization_Ratio,-21674.836411298147,21674.836411298147
Total_Experience Curent_Location_encoded,21654.79287099467,21654.79287099467
Total_Experience Passing_Year_Of_PG Current_CTC,-21436.39498578125,21436.39498578125
Current_CTC,21325.633226941383,21325.633226941383
Passing_Year_Of_PG Current_CTC Performance_Score,21314.138476167413,21314.138476167413
Total_Experience_in_field_applied Number_of_Publications,21256.84872304645,21256.84872304645
Total_Experience Passing_Year_Of_Graduation Education_Level_encoded,-21100.764600247956,21100.764600247956
Total_Experience Education_Level_encoded,20782.6233720922,20782.6233720922
Total_Experience Passing_Year_Of_Graduation Designation_encoded,-20779.50396339247,20779.50396339247
Passing_Year_Of_Graduation Performance_Score^2,20678.77168806046,20678.77168806046
Total_Experience Passing_Year_Of_PG No_Of_Companies_worked,-20440.86096153833,20440.86096153833
Total_Experience Passing_Year_Of_Graduation University_PHD_encoded,-19954.141651282203,19954.141651282203
Total_Experience_in_field_applied Has_PG,19873.260642048434,19873.260642048434
Current_CTC Organization_encoded,19583.696368925706,19583.696368925706
Current_CTC Curent_Location_encoded,19444.0559411894,19444.0559411894
Total_Experience Has_PG^2,19388.420147456356,19388.420147456356
Total_Experience Passing_Year_Of_Graduation Organization_encoded,-19288.38406883904,19288.38406883904
Total_Experience University_Grad_encoded,19143.039125851206,19143.039125851206
Passing_Year_Of_PHD Has_PHD,-19043.21492249593,19043.21492249593
Total_Experience_in_field_applied Education_Level_encoded^2,18850.418678227576,18850.418678227576
Current_CTC Preferred_location_encoded,18775.177490968057,18775.177490968057
Total_Experience Passing_Year_Of_PG Field_Specialization_Ratio,-18669.01639915832,18669.01639915832
Current_CTC Role_encoded,18621.139060884925,18621.139060884925
Total_Experience^2 Current_CTC,18534.846036968724,18534.846036968724
Current_CTC Industry_encoded,18435.024405248423,18435.024405248423
Total_Experience Passing_Year_Of_Graduation Industry_encoded,-18338.43296013088,18338.43296013088
Total_Experience^2 Has_PG,18225.427143016794,18225.427143016794
Total_Experience Passing_Year_Of_Graduation Role_encoded,-18054.867134011016,18054.867134011016
Total_Experience Passing_Year_Of_Graduation No_Of_Companies_worked,-17913.233983715436,17913.233983715436
Current_CTC Designation_encoded,17774.418585260486,17774.418585260486
Total_Experience Passing_Year_Of_Graduation Department_encoded,-17637.639991496653,17637.639991496653
Passing_Year_Of_PHD Current_CTC Performance_Score,17414.554047200436,17414.554047200436
Total_Experience_in_field_applied Has_PHD,17358.420713038286,17358.420713038286
Passing_Year_Of_PHD Has_PG,-17145.12223758041,17145.12223758041
Passing_Year_Of_PHD No_Of_Companies_worked,17089.231989521555,17089.231989521555
Current_CTC Department_encoded,17088.926361385726,17088.926361385726
No_Of_Companies_worked^2,17045.266647131582,17045.266647131582
Passing_Year_Of_Graduation Current_CTC Graduation_Specialization_encoded,16994.201677189205,16994.201677189205
No_Of_Companies_worked Has_PG,16982.327666002726,16982.327666002726
Department_encoded Education_Level_encoded^2,16879.811781482025,16879.811781482025
Inhand_Offer Performance_Score^2,-16559.808399494148,16559.808399494148
No_Of_Companies_worked Has_PHD,16475.2016329063,16475.2016329063
Total_Experience Has_PG Has_PHD,16441.933498306287,16441.933498306287
Total_Experience^2 Has_PHD,16282.429683733046,16282.429683733046
Passing_Year_Of_Graduation Current_CTC University_Grad_encoded,16276.380265649344,16276.380265649344
Total_Experience Graduation_Specialization_encoded,16033.743290443123,16033.743290443123
Passing_Year_Of_PHD PHD_Specialization_encoded,-16024.943247435082,16024.943247435082
Current_CTC Inhand_Offer Education_Level_encoded,-16015.031239308433,16015.031239308433
Total_Experience Designation_encoded,15971.70884955565,15971.70884955565
Total_Experience Total_Experience_in_field_applied Field_Specialization_Ratio,-15724.233072825407,15724.233072825407
Passing_Year_Of_Graduation Current_CTC Organization_encoded,15676.391165259369,15676.391165259369
Passing_Year_Of_Graduation Current_CTC Number_of_Publications,15518.570001343316,15518.570001343316
Total_Experience Total_Experience_in_field_applied Has_PHD,-15506.097152326787,15506.097152326787
Current_CTC Performance_Score^2,-15502.621632855315,15502.621632855315
Current_CTC Has_PHD Performance_Score,15466.723719965126,15466.723719965126
Total_Experience Total_Experience_in_field_applied Has_PG,-15379.271516486826,15379.271516486826
Total_Experience^2 No_Of_Companies_worked,15338.196873998208,15338.196873998208
Total_Experience_in_field_applied Field_Specialization_Ratio,15335.932767459799,15335.932767459799
Passing_Year_Of_PHD PG_Specialization_encoded,-15243.346907791758,15243.346907791758
Current_CTC Has_PG Performance_Score,15070.343402089684,15070.343402089684
Total_Experience_in_field_applied Inhand_Offer,14932.320996201659,14932.320996201659
Number_of_Publications Performance_Score^2,14870.976556811805,14870.976556811805
Passing_Year_Of_Graduation Current_CTC Field_Specialization_Ratio,14840.600089418147,14840.600089418147
Passing_Year_Of_Graduation Current_CTC University_PG_encoded,14821.307269458886,14821.307269458886
Organization_encoded Education_Level_encoded^2,14673.57348327479,14673.57348327479
Passing_Year_Of_Graduation Current_CTC PG_Specialization_encoded,14569.333170694805,14569.333170694805
Current_CTC^2 Education_Level_encoded,-14501.76603893597,14501.76603893597
Passing_Year_Of_PHD Current_CTC^2,14424.219327469975,14424.219327469975
Passing_Year_Of_Graduation Current_CTC Preferred_location_encoded,14329.898644781144,14329.898644781144
Current_CTC University_PHD_encoded,14290.628032577553,14290.628032577553
