Feature,XGBoost_Importance,GradBoost_Importance,RandomForest_Importance,Average_Importance
Current_CTC,0.95254457,0.9846620984390911,0.9853440382284391,0.9741835688789026
Performance_Score,0.0267085,0.00876015361080686,0.00840678672217084,0.014625146930922641
Education_Level_encoded,0.009211558,0.004533065600464065,0.004268212877290609,0.006004278798350519
Inhand_Offer,0.0046975696,0.0008349373440423938,0.0007159392446204689,0.002082815411534707
Passing_Year_Of_PHD,0.0033336515,0.0004935338739799133,0.00048728653180465047,0.0014381572888305836
PHD_Specialization_encoded,0.0011740307,0.0002946247602408956,0.0002844915165187081,0.000584382328613334
Total_Experience,0.00056470383,0.00018530802701685264,0.0001415134083736644,0.00029717508987787863
University_Grad_encoded,0.00042497503,2.550694132768906e-05,1.9936122459369526e-05,0.00015680603277834276
Graduation_Specialization_encoded,0.00026371508,5.681695822197597e-05,5.2214199641504085e-05,0.0001242487444750856
PG_Specialization_encoded,0.00019774999,2.6359839374167136e-05,5.155572344431658e-05,9.18885183951213e-05
University_PG_encoded,0.0001425424,1.8102301829318138e-05,2.4670780673716318e-05,6.177182681855767e-05
University_PHD_encoded,0.00012231017,2.067865276653046e-05,2.8085259536602997e-05,5.7024694673947545e-05
Preferred_location_encoded,8.871888e-05,1.6532380602478794e-05,2.5143400785720122e-05,4.346488707990384e-05
Passing_Year_Of_Graduation,9.126916e-05,9.033467501252713e-06,1.7077847757839832e-05,3.912682548734578e-05
Certifications,9.2773684e-05,5.857137587689081e-06,6.943916258732907e-06,3.519157918827589e-05
Passing_Year_Of_PG,7.01503e-05,1.370661207992863e-05,1.8597126117148715e-05,3.4151346507714536e-05
Curent_Location_encoded,6.1083476e-05,1.0848277917533368e-05,2.3872830033169703e-05,3.193486127840629e-05
Number_of_Publications,5.7711237e-05,1.226261993796239e-05,2.0442040066280492e-05,3.0138632293869923e-05
Industry_encoded,1.8793236e-05,5.899376741447345e-06,8.512397894102094e-06,1.1068337028419844e-05
No_Of_Companies_worked,2.0726284e-05,3.6542506286418883e-06,7.577380473097476e-06,1.0652638288851751e-05
Role_encoded,1.713687e-05,2.9888836623783426e-06,9.100909909331483e-06,9.742221242506424e-06
Field_Specialization_Ratio,2.0763679e-05,1.1933168193668343e-06,6.618416185353999e-06,9.52513718456494e-06
Organization_encoded,1.5222517e-05,3.097391870187884e-06,8.72501811875816e-06,9.014975527916646e-06
Department_encoded,1.6940692e-05,1.7768803644836895e-06,7.781977377573239e-06,8.833183296897984e-06
Designation_encoded,1.2999695e-05,1.3879847532016463e-06,9.057979439148094e-06,7.815219788371988e-06
International_degree_any,1.7586875e-05,1.0357380329379553e-07,6.455933147278028e-07,6.112014173114155e-06
Total_Experience_in_field_applied,1.2228952e-05,4.7149656831861917e-07,5.172551295602464e-06,5.957666645707385e-06
Has_PHD,0.0,0.0,0.0,0.0
Has_PG,0.0,0.0,0.0,0.0
