Feature,Importance
Current_CTC,0.9598345
Performance_Score,0.024239358
Education_Level_encoded,0.0075180675
Passing_Year_Of_PHD,0.0032138913
Inhand_Offer,0.0025026435
PHD_Specialization_encoded,0.0010198911
Total_Experience,0.00051595736
Graduation_Specialization_encoded,0.00018548686
University_Grad_encoded,0.00014742317
PG_Specialization_encoded,0.00014021742
University_PHD_encoded,9.571847e-05
Passing_Year_Of_PG,7.6520904e-05
Passing_Year_Of_Graduation,7.63416e-05
Preferred_location_encoded,6.861782e-05
University_PG_encoded,6.702075e-05
Certifications,6.370834e-05
Number_of_Publications,5.9613376e-05
Curent_Location_encoded,4.7701455e-05
International_degree_any,1.8094592e-05
Field_Specialization_Ratio,1.6528915e-05
Department_encoded,1.6172053e-05
Role_encoded,1.4876755e-05
No_Of_Companies_worked,1.3716035e-05
Industry_encoded,1.2832306e-05
Organization_encoded,1.2159144e-05
Total_Experience_in_field_applied,1.1742909e-05
Designation_encoded,1.1191186e-05
Has_PHD,0.0
Has_PG,0.0
